iter	Passed	Remaining
435	1371	1774
436	1373	1769
437	1377	1767
438	1379	1763
439	1393	1773
440	1398	1772
441	1399	1767
442	1401	1762
443	1403	1757
444	1404	1752
445	1406	1747
446	1412	1747
447	1414	1742
448	1416	1737
449	1417	1732
450	1419	1727
451	1420	1722
452	1422	1717
453	1424	1712
454	1425	1707
455	1427	1702
456	1428	1697
457	1448	1713
458	1455	1715
459	1457	1711
460	1459	1706
461	1461	1701
462	1462	1696
463	1464	1691
464	1468	1690
465	1470	1685
466	1471	1679
467	1474	1675
468	1488	1684
469	1491	1682
470	1494	1678
471	1496	1673
472	1501	1673
473	1503	1668
474	1505	1664
475	1507	1659
476	1509	1655
477	1511	1651
478	1515	1648
479	1518	1645
480	1520	1640
481	1522	1635
482	1523	1631
483	1525	1626
484	1526	1621
485	1533	1621
486	1534	1616
487	1536	1612
488	1538	1607
489	1539	1602
490	1541	1597
491	1542	1593
492	1545	1589
493	1548	1585
494	1550	1581
495	1551	1576
496	1554	1573
497	1556	1568
498	1557	1564
499	1561	1561
500	1563	1556
501	1566	1554
502	1572	1553
503	1574	1549
504	1579	1547
505	1580	1543
506	1582	1538
507	1584	1534
508	1585	1529
509	1587	1525
510	1588	1520
511	1591	1517
512	1594	1513
513	1597	1510
514	1598	1505
515	1599	1500
516	1601	1495
517	1603	1491
518	1604	1487
519	1614	1490
520	1615	1485
521	1617	1481
522	1619	1476
523	1620	1472
524	1626	1471
525	1628	1467
526	1630	1463
527	1632	1459
528	1633	1454
529	1641	1455
530	1643	1451
531	1645	1447
532	1648	1444
533	1650	1440
534	1652	1436
535	1656	1433
536	1660	1432
537	1663	1428
538	1665	1424
539	1667	1420
540	1672	1419
541	1674	1414
542	1676	1410
543	1679	1407
544	1681	1403
545	1682	1399
546	1686	1396
547	1688	1392
548	1690	1388
549	1692	1385
550	1696	1382
551	1698	1378
552	1699	1373
553	1701	1370
554	1703	1365
555	1705	1361
556	1706	1357
557	1712	1356
558	1714	1352
559	1717	1349
560	1718	1344
561	1720	1340
562	1722	1337
563	1727	1335
564	1728	1330
565	1729	1326
566	1731	1322
567	1732	1317
568	1733	1313
569	1734	1308
570	1736	1304
571	1737	1299
572	1739	1296
573	1748	1297
574	1767	1306
575	1774	1306
576	1776	1302
577	1777	1298
578	1780	1294
579	1781	1290
580	1783	1286
581	1789	1285
582	1791	1281
583	1792	1277
584	1795	1273
585	1797	1269
586	1798	1265
587	1805	1265
588	1807	1261
589	1808	1257
590	1810	1252
591	1811	1248
592	1812	1244
593	1814	1240
594	1816	1236
595	1818	1232
596	1820	1228
597	1821	1224
598	1822	1219
599	1823	1215
600	1824	1211
601	1825	1207
602	1827	1202
603	1828	1198
604	1831	1196
605	1833	1192
606	1835	1188
607	1836	1183
608	1837	1179
609	1838	1175
610	1839	1171
611	1840	1166
612	1841	1162
613	1842	1158
614	1844	1154
615	1846	1151
616	1847	1147
617	1849	1142
618	1850	1138
619	1851	1134
620	1852	1130
621	1853	1126
622	1854	1122
623	1856	1118
624	1860	1116
625	1861	1112
626	1863	1108
627	1864	1104
628	1865	1100
629	1866	1096
630	1867	1092
631	1868	1088
632	1869	1084
633	1871	1080
634	1878	1079
635	1879	1075
636	1881	1071
637	1882	1067
638	1883	1063
639	1884	1060
640	1886	1056
641	1889	1053
642	1890	1049
643	1894	1047
644	1897	1044
645	1898	1040
646	1902	1037
647	1904	1034
648	1905	1030
649	1907	1027
650	1910	1024
651	1912	1020
652	1919	1019
653	1920	1016
654	1922	1012
655	1923	1008
656	1924	1004
657	1925	1000
658	1926	997
659	1927	993
660	1928	989
661	1936	988
662	1938	985
663	1940	981
664	1942	978
665	1943	974
666	1945	971
667	1953	971
668	1955	967
669	1957	963
670	1958	960
671	1959	956
672	1965	955
673	1967	951
674	1969	948
675	1970	944
676	1971	940
677	1972	936
678	1973	933
679	1975	929
680	1981	928
681	1982	924
682	1984	921
683	1986	917
684	1988	914
685	1999	915
686	2001	911
687	2003	908
688	2006	905
689	2014	904
690	2015	901
691	2017	897
692	2018	894
693	2021	891
694	2030	891
695	2032	887
696	2034	884
697	2035	880
698	2036	876
699	2037	873
700	2047	873
701	2049	869
702	2050	866
703	2051	862
704	2053	859
705	2062	858
706	2063	855
707	2066	852
708	2067	848
709	2079	849
710	2080	845
711	2082	842
712	2084	838
713	2089	837
714	2092	833
715	2093	830
716	2095	827
717	2097	823
718	2104	822
719	2107	819
720	2109	816
721	2111	812
722	2121	812
723	2124	809
724	2125	806
725	2131	804
726	2135	801
727	2137	798
728	2138	795
729	2140	791
730	2149	790
731	2150	787
732	2152	784
733	2154	780
734	2155	777
735	2156	773
736	2162	771
737	2164	768
738	2166	765
739	2167	761
740	2168	758
741	2169	754
742	2171	751
743	2172	747
744	2175	744
745	2176	741
746	2178	737
747	2179	734
748	2182	731
749	2191	730
750	2193	727
751	2195	724
752	2197	720
753	2199	717
754	2205	715
755	2206	712
756	2207	708
757	2209	705
758	2210	701
759	2211	698
760	2212	695
761	2214	691
762	2221	690
763	2222	686
764	2223	683
765	2225	679
766	2226	676
767	2227	673
768	2229	669
769	2233	667
770	2236	664
771	2237	660
772	2238	657
773	2240	654
774	2241	650
775	2242	647
776	2243	643
777	2246	640
778	2250	638
779	2251	635
780	2252	631
781	2255	628
782	2256	625
783	2257	622
784	2258	618
785	2259	615
786	2265	613
787	2266	609
788	2268	606
789	2269	603
790	2272	600
791	2274	597
792	2275	593
793	2281	591
794	2283	588
795	2284	585
796	2286	582
797	2287	579
798	2288	575
799	2289	572
800	2296	570
801	2297	567
802	2299	564
803	2301	561
804	2302	557
805	2304	554
806	2305	551
807	2309	548
808	2313	546
809	2314	542
810	2315	539
811	2316	536
812	2317	533
813	2319	529
814	2320	526
815	2324	524
816	2327	521
817	2328	518
818	2330	514
819	2331	511
820	2334	508
821	2336	505
822	2340	503
823	2342	500
824	2343	497
825	2344	493
826	2346	490
827	2347	487
828	2348	484
829	2350	481
830	2351	478
831	2355	475
832	2356	472
833	2358	469
834	2359	466
835	2360	463
836	2361	459
837	2362	456
838	2363	453
839	2365	450
840	2366	447
841	2371	444
842	2372	441
843	2373	438
844	2374	435
845	2375	432
846	2377	429
847	2378	426
848	2379	423
849	2380	420
850	2381	417
851	2387	414
852	2389	411
853	2390	408
854	2391	405
855	2393	402
856	2394	399
857	2396	396
858	2397	393
859	2401	390
860	2402	387
861	2403	384
862	2404	381
863	2406	378
864	2408	375
865	2409	372
866	2411	369
867	2412	366
868	2417	364
869	2418	361
870	2419	358
871	2420	355
872	2422	352
873	2423	349
874	2424	346
875	2425	343
876	2426	340
877	2427	337
878	2430	334
879	2432	331
880	2433	328
881	2434	325
882	2436	322
883	2437	319
884	2438	316
885	2439	313
886	2440	310
887	2441	307
888	2442	305
889	2447	302
890	2448	299
891	2449	296
892	2450	293
893	2451	290
894	2453	287
895	2454	284
896	2455	281
897	2456	278
898	2457	276
899	2460	273
900	2462	270
901	2463	267
902	2464	264
903	2465	261
904	2466	258
905	2467	256
906	2468	253
907	2469	250
908	2471	247
909	2472	244
910	2475	241
911	2477	239
912	2478	236
913	2480	233
914	2485	230
915	2486	228
916	2487	225
917	2493	222
918	2494	219
919	2495	217
920	2497	214
921	2498	211
922	2500	208
923	2501	205
924	2503	202
925	2508	200
926	2509	197
927	2511	194
928	2512	191
929	2513	189
930	2514	186
931	2515	183
932	2516	180
933	2518	177
934	2520	175
935	2522	172
936	2524	169
937	2525	166
938	2527	164
939	2528	161
940	2529	158
941	2530	155
942	2531	153
943	2533	150
944	2538	147
945	2539	144
946	2540	142
947	2541	139
948	2542	136
949	2543	133
950	2544	131
951	2546	128
952	2554	125
953	2555	123
954	2556	120
955	2557	117
956	2558	114
957	2560	112
958	2561	109
959	2563	106
960	2570	104
961	2572	101
962	2573	98
963	2577	96
964	2578	93
965	2583	90
966	2585	88
967	2587	85
968	2588	82
969	2590	80
970	2592	77
971	2593	74
972	2599	72
973	2600	69
974	2602	66
975	2616	64
976	2618	61
977	2619	58
978	2625	56
979	2626	53
980	2631	50
981	2632	48
982	2634	45
983	2636	42
984	2639	40
985	2640	37
986	2642	34
987	2645	32
988	2646	29
989	2648	26
990	2649	24
991	2651	21
992	2652	18
993	2654	16
994	2657	13
995	2660	10
996	2662	8
997	2664	5
998	2665	2
999	2667	0
